Latitude,Longitude,Pycnopodia_helianthoides logistic values
-2115712.234,1575398.751,0.68917483
-2123910.152,1498850.881,6.7151303E-4
-1941406.232,-515282.8642,0.68626213
-2180740.742,-127249.3166,0.2515957
-2138918.269,825088.9815,0.43725
-3090456.419,2972616.982,0.6009909
-3840820.519,3162327.653,0.510181
-2146298.284,806897.6571,0.17274876
-1964163.279,-624016.0303,0.019643864
-3223121.653,2957378.461,0.4729238
-3091715.399,3136232.925,0.30424938
-1825088.696,1271882.793,0.38227138
-2308138.208,2412349.717,0.14925778
-1993562.293,1299676.682,0.24548608
-2162739.873,-87870.14291,0.5090715
-1876881.089,1353235.787,0.32200742
-2119102.863,770936.6268,0.5674923
-2276336.103,2390475.907,0.6151615
-3070087.856,2978650.734,0.58057225
-2028121.856,-440915.4463,0.45769653
-1885695.266,-700431.6058,0.073387474
-2082499.824,829695.245,0.67183346
-2097285.786,1535507.201,0.69108355
-1866431.706,1306593.761,0.6069068
-1849654.283,1242619.809,0.6161925
-2069899.361,-494967.8612,0.048788622
-1861578.417,1235343.337,0.514659
-2153884.37,1625232.307,0.0078638485
-2078314.396,1419461.198,0.398931
-2191476.94,32467.15413,0.76956946
-1861182.228,1252736.078,0.46445617
-1967543.922,1292259.926,0.43332508
-3307097.67,2945243.299,0.43979752
-1966746.532,-474554.4653,0.6276422
-1812259.63,-1193741.776,0.72388846
-2132949.182,733417.3479,0.53933185
-1865121.758,1245139.414,0.42643234
-2289549.566,2277611.059,0.2886483
-2101876.498,852815.2824,0.57352024
-3025486.219,3059042.181,0.5519463
-1889994.21,-600283.0353,0.0014188003
-1914403.184,-562198.3049,0.15372828
-2827485.061,3003474.508,0.0017902885
-1848966.527,1200789.51,0.535195
-1909021.539,1268504.063,0.58710945
-3710554.624,3142837.127,0.7015636
-3081150.703,3049807.69,0.5234306
-1859968.497,1221618.362,0.5816757
-1882036.117,1284506.477,0.5038007
-1845615.221,1262546.901,0.5548557
-1883991.029,1247008.085,0.40107492
-2090618.183,822205.3993,0.6430594
-2961697.424,3057017.039,0.22381777
-2162221.343,-233761.1069,0.0011448374
-1868006.939,1328829.08,0.47071517
-4264101.53,3272133.749,0.034178417
-3354654.564,3101717.134,0.69633985
-1900475.124,-628259.7048,0.0042630574
-1889096.902,1253227.472,0.530289
-1880613.808,1271668.602,0.54048437
-2650529.323,3093662.371,0.6520558
-2990961.101,3176976.38,0.56107986
-2879635.768,3064908.395,0.18700582
-2977944.53,2996172.989,0.27401045
-1842321.259,1204037.871,0.535195
-2299353.232,2278880.898,0.24234559
-2410992.226,2822880.451,0.58044577
-1986710.579,1302511.09,0.120943
-2095372.435,1721464.109,0.45802596
-1856982.73,1352775.902,0.35531434
-3260809.25,2915102.197,0.013029193
-2123338.101,766260.5436,0.4691505
-1948397.774,-566566.528,0.014549605
-1891826.841,1257193.372,0.530289
-1968991.87,-543702.4626,0.64943874
-3621400.255,3042232.085,0.6639018
-1996469.997,-507274.0652,0.0012447527
-1995716.824,1348655.804,0.6995669
-3724062.12,3021071.962,0.36146447
-1840709.479,1281013.305,0.43803662
-4277140.392,3270610.279,0.3574034
-2094533.664,794669.056,0.6701249
-1864800.457,1240016.607,0.5287908
-2960163.782,2977470.096,0.15734634
-3347030.077,3090042.726,0.2836481
-3364019.482,2996768.53,0.6032575
-2072832.243,-447870.6752,0.7588601
-1932281.576,-536636.948,9.639181E-4
-2319379.937,2555898.246,0.008439661
